GAME_ID,date,home_season,home_season_type,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,home_win,point_diff,home_PTS,away_PTS,home_FG_PCT,away_FG_PCT,home_FG3_PCT,away_FG3_PCT,home_FT_PCT,away_FT_PCT,home_REB,away_REB,home_AST,away_AST,home_TOV,away_TOV,home_PLUS_MINUS,away_PLUS_MINUS,adv_home_estimatedNetRating,adv_away_estimatedNetRating,adv_home_estimatedOffensiveRating,adv_away_estimatedOffensiveRating,adv_home_estimatedDefensiveRating,adv_away_estimatedDefensiveRating,adv_home_estimatedPace,adv_away_estimatedPace,adv_home_effectiveFieldGoalPercentage,adv_away_effectiveFieldGoalPercentage,adv_home_trueShootingPercentage,adv_away_trueShootingPercentage,adv_home_PIE,adv_away_PIE,net_rating_diff,pace_diff,efg_diff,home_rest_days,away_rest_days,home_is_b2b,away_is_b2b,rest_diff,b2b_advantage,home_roll_won_10,away_roll_won_10,home_roll_pts_for_10,away_roll_pts_for_10,home_roll_pts_against_10,away_roll_pts_against_10,home_roll_pt_diff_10,away_roll_pt_diff_10,win_pct_diff_10,pt_diff_diff_10,home_roll_estimatedNetRating_10,home_roll_estimatedOffensiveRating_10,home_roll_estimatedDefensiveRating_10,home_roll_estimatedPace_10,home_roll_effectiveFieldGoalPercentage_10,home_roll_offensiveReboundPercentage_10,home_roll_defensiveReboundPercentage_10,home_roll_PIE_10,away_roll_estimatedNetRating_10,away_roll_estimatedOffensiveRating_10,away_roll_estimatedDefensiveRating_10,away_roll_estimatedPace_10,away_roll_effectiveFieldGoalPercentage_10,away_roll_offensiveReboundPercentage_10,away_roll_defensiveReboundPercentage_10,away_roll_PIE_10,diff_roll_estimatedNetRating_10,diff_roll_estimatedOffensiveRating_10,diff_roll_estimatedDefensiveRating_10,diff_roll_estimatedPace_10,diff_roll_effectiveFieldGoalPercentage_10,diff_roll_offensiveReboundPercentage_10,diff_roll_defensiveReboundPercentage_10,diff_roll_PIE_10
0022200049,2022-10-24,2022-23,Regular Season,MEM,BKN,1,10,134,124,0.5,0.54,0.471,0.31,0.774,0.808,38,35,21,27,9,11,10,-10,51.0,-51.0,683.7,632.7,632.7,683.7,19.6,19.6,0.585,0.592,0.622,0.63,0.518,0.482,102.0,0.0,-0.007000000000000006,1.0,2.0,0,0,-1.0,0,0.6666666666666666,,113.33333333333333,,123.66666666666667,,-10.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022200044,2022-10-24,2022-23,Regular Season,PHI,IND,1,14,120,106,0.475,0.422,0.442,0.273,0.893,0.783,39,47,25,27,8,13,14,-14,81.3,-81.3,645.2,563.8,563.8,645.2,18.7,18.7,0.594,0.489,0.65,0.529,0.583,0.417,162.6,0.0,0.10499999999999998,1.0,1.0,0,0,0.0,0,0.0,0.3333333333333333,103.33333333333333,121.66666666666667,110.0,122.0,-6.666666666666667,-0.3333333333333333,-0.3333333333333333,-6.333333333333334,,,,,,,,,,,,,,,,,,,,,,,,
0022200050,2022-10-24,2022-23,Regular Season,MIN,SAS,0,-9,106,115,0.442,0.457,0.258,0.324,0.917,0.538,50,50,24,37,16,13,-9,9,-33.3,33.3,519.6,552.9,552.9,519.6,20.6,20.6,0.488,0.514,0.549,0.519,0.48,0.52,-66.6,0.0,-0.026000000000000023,0.0,1.0,1,0,-1.0,-1,0.6666666666666666,0.6666666666666666,119.0,117.66666666666667,115.33333333333333,122.66666666666667,3.6666666666666665,-5.0,0.0,8.666666666666666,,,,,,,,,,,,,,,,,,,,,,,,
0022200045,2022-10-24,2022-23,Regular Season,MIA,TOR,0,-8,90,98,0.349,0.395,0.235,0.438,0.889,0.8,46,52,19,22,12,12,-8,8,-41.2,41.2,463.9,505.2,505.2,463.9,19.4,19.4,0.398,0.477,0.474,0.517,0.461,0.539,-82.4,0.0,-0.07899999999999996,1.0,1.0,0,0,0.0,0,0.3333333333333333,0.3333333333333333,108.0,107.33333333333333,112.0,108.66666666666667,-4.0,-1.3333333333333333,0.0,-2.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,
0022200048,2022-10-24,2022-23,Regular Season,HOU,UTA,1,6,114,108,0.422,0.473,0.314,0.344,0.844,0.563,47,49,17,23,16,20,6,-6,24.5,-24.5,570.0,545.5,545.5,570.0,19.9,19.9,0.483,0.532,0.548,0.54,0.518,0.482,49.0,0.0,-0.049000000000000044,1.0,0.0,0,1,1.0,1,0.0,1.0,111.33333333333333,125.66666666666667,123.66666666666667,116.33333333333333,-12.333333333333334,9.333333333333334,-1.0,-21.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,
0022200047,2022-10-24,2022-23,Regular Season,CHI,BOS,1,18,120,102,0.483,0.37,0.476,0.375,0.897,0.833,60,45,29,26,14,11,18,-18,83.3,-83.3,588.2,505.0,505.0,588.2,20.3,20.3,0.54,0.46,0.601,0.484,0.634,0.366,166.6,0.0,0.08000000000000002,1.0,1.0,0,0,0.0,0,0.3333333333333333,1.0,104.0,121.0,112.66666666666667,113.66666666666667,-8.666666666666666,7.333333333333333,-0.6666666666666667,-16.0,,,,,,,,,,,,,,,,,,,,,,,,
0022200051,2022-10-24,2022-23,Regular Season,POR,DEN,1,25,135,110,0.578,0.495,0.457,0.387,0.742,0.571,45,38,23,28,10,8,25,-25,130.2,-130.2,703.1,572.9,572.9,703.1,19.2,19.2,0.675,0.56,0.698,0.566,0.609,0.391,260.4,0.0,0.11499999999999999,0.0,1.0,1,0,-1.0,-1,1.0,0.6666666666666666,111.33333333333333,117.33333333333333,107.66666666666667,121.0,3.6666666666666665,-3.6666666666666665,0.33333333333333337,7.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,
0022200053,2022-10-25,2022-23,Regular Season,NOP,DAL,1,2,113,111,0.579,0.5,0.444,0.308,0.722,0.708,26,37,25,18,14,12,2,-2,4.3,-4.3,601.1,596.8,596.8,601.1,18.7,18.7,0.658,0.573,0.673,0.6,0.509,0.491,8.6,0.0,0.08500000000000008,1.0,2.0,0,0,-1.0,0,0.6666666666666666,,125.0,,114.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022200055,2022-10-25,2022-23,Regular Season,PHX,GSW,1,29,134,105,0.511,0.451,0.414,0.286,0.824,0.765,48,40,31,28,14,16,29,-29,134.5,-134.5,644.2,509.7,509.7,644.2,20.7,20.7,0.576,0.505,0.626,0.533,0.621,0.379,269.0,0.0,0.07099999999999995,1.0,1.0,0,0,0.0,0,0.6666666666666666,0.6666666666666666,110.0,125.33333333333333,104.33333333333333,120.66666666666667,5.666666666666667,4.666666666666667,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0022200054,2022-10-25,2022-23,Regular Season,OKC,LAC,1,14,108,94,0.382,0.422,0.133,0.323,0.8,0.778,60,47,19,21,6,19,14,-14,62.9,-62.9,519.2,456.3,456.3,519.2,20.7,20.7,0.4,0.482,0.446,0.517,0.552,0.448,125.8,0.0,-0.08199999999999996,1.0,1.0,0,0,0.0,0,0.0,0.6666666666666666,110.33333333333333,103.0,117.66666666666667,106.0,-7.333333333333333,-3.0,-0.6666666666666666,-4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,
